name = Mira_Calib - Gauss

# date  RA  RA_error  Dec Dec_error
2017.721  34d50m11.9495530854607068s  0d00m00.0000000752197632s  -2d58m43.7425045196934548s  0d00m00.0000000752197631s
2017.724  34d50m11.9512198680382653s  0d00m00.0000000799524159s  -2d58m43.7454333745382939s  0d00m00.0000000799524159s
2017.855  34d50m11.9476009477324396s  0d00m00.0000000413832447s  -2d58m43.7829635341502410s  0d00m00.0000000413832447s
2019.464  34d50m11.9638781366859348s  0d00m00.0000000155096351s  -2d58m44.1561842450020947s  0d00m00.0000000155096351s
2021.716  34d50m11.9766420558107711s  0d00m00.0000000241810871s  -2d58m44.6987332582027364s  0d00m00.0000000241810871s
2021.718  34d50m11.9757493733771980s  0d00m00.0000000244180112s  -2d58m44.6996630498674108s  0d00m00.0000000244180112s
2021.721  34d50m11.9775255292012162s  0d00m00.0000000427616260s  -2d58m44.6990141542869424s  0d00m00.0000000427616260s
2021.727  34d50m11.9772654180110294s  0d00m00.0000000261334734s  -2d58m44.7017099428342135s  0d00m00.0000000261334734s
2023.484  34d50m11.9930961922449342s  0d00m00.0000007021538880s  -2d58m45.1196093206951332s  0d00m00.0000007021538881s
2023.495  34d50m11.9927725512269490s  0d00m00.0000003709869854s  -2d58m45.1233871688017985s  0d00m00.0000003709869855s
2023.530  34d50m11.9938551321638442s  0d00m00.0000000298779400s  -2d58m45.1298836394720126s  0d00m00.0000000298779400s
2023.533  34d50m11.9907459393886029s  0d00m00.0000000763147386s  -2d58m45.1326255389346898s  0d00m00.0000000763147386s
2023.552  34d50m11.9921659106012157s  0d00m00.0000000947054261s  -2d58m45.1372854422041314s  0d00m00.0000000947054261s
2023.626  34d50m11.9951643368636951s  0d00m00.0000000242647170s  -2d58m45.1571995620902555s  0d00m00.0000000242647170s
2025.606  34d50m12.0110097804257521s  0d00m00.0000000357265914s  -2d58m45.6243673727547616s  0d00m00.0000000357265914s
