name = W_Hya - RickerWavelet

# date  RA  RA_error  Dec Dec_error
2015.914  207d15m29.0823313875648637s  0d00m00.0060002939076202s  -28d22m04.4908410149903943s  0d00m00.0060156683377369s
2017.824  207d15m28.9787736320931799s  0d00m00.0060000487488002s  -28d22m04.5950344909047658s  0d00m00.0060026015889047s
2017.900  207d15m28.9765918276088996s  0d00m00.0060000915304967s  -28d22m04.6089819629844442s  0d00m00.0060048838173805s
2019.433  207d15m28.8818293430040285s  0d00m00.0060000000598369s  -28d22m04.6983843521434210s  0d00m00.0060000031940035s
2021.736  207d15m28.7607758877697961s  0d00m00.0060000649888086s  -28d22m04.8419291758381178s  0d00m00.0060034680088810s
2023.627  207d15m28.6479456187635151s  0d00m00.0060000321183833s  -28d22m04.9530863919417811s  0d00m00.0060017141802862s
2023.635  207d15m28.6476237788519938s  0d00m00.0060000397536305s  -28d22m04.9505223851045344s  0d00m00.0060021216081286s
2023.753  207d15m28.6329302052877210s  0d00m00.0060002137880602s  -28d22m04.9683290167553196s  0d00m00.0060114009832532s
2023.780  207d15m28.6446161478693284s  0d00m00.0060027137481809s  -28d22m04.9847547739449283s  0d00m00.0061431792246771s
2025.565  207d15m28.5360666463475354s  0d00m00.0060000803157796s  -28d22m05.0757545562592554s  0d00m00.0060042855960169s
2025.611  207d15m28.5250060337489231s  0d00m00.0060003528148108s  -28d22m05.0778131442601193s  0d00m00.0060188036461146s
2025.695  207d15m28.5324259662957047s  0d00m00.0060001745440657s  -28d22m05.0797221374156720s  0d00m00.0060093097299598s
2025.696  207d15m28.5293570954422648s  0d00m00.0060003071981660s  -28d22m05.0766315225732228s  0d00m00.0060163757042181s
2025.712  207d15m28.5323435263080682s  0d00m00.0060001155692470s  -28d22m05.0807978534183462s  0d00m00.0060061657490843s
2025.715  207d15m28.5322758463280479s  0d00m00.0060005146969343s  -28d22m05.0778881025780720s  0d00m00.0060274120653532s
