name = R_Dor - Gauss

# date  RA  RA_error  Dec Dec_error
2017.732  69d11m21.3135653345625542s  0.00035  -62d04m39.1014247372828549s  0.00250
2017.735  69d11m21.3160926270882101s  0.00035  -62d04m39.1050707163407196s  0.00250
2017.812  69d11m21.2843427660311590s  0.00035  -62d04m39.1224303947075214s  0.00250
2017.855  69d11m21.2705319300619067s  0.00035  -62d04m39.1276989918884510s  0.00250
2023.568  69d11m20.4463309689367634s  0.00035  -62d04m39.5221337877023871s  0.00250
2023.585  69d11m20.4434297420300481s  0.00035  -62d04m39.5265472687646024s  0.00250
2023.626  69d11m20.4437000191171592s  0.00035  -62d04m39.5336103876223888s  0.00250
2023.749  69d11m20.4052976470700287s  0.00035  -62d04m39.5682079195017877s  0.00250
2023.757  69d11m20.4203439544380672s  0.00035  -62d04m39.5684698134579094s  0.00250
2023.757  69d11m20.4006841302054909s  0.00035  -62d04m39.5660652131630286s  0.00250
2023.763  69d11m20.4236180331997730s  0.00035  -62d04m39.5536630013742752s  0.00250
2023.763  69d11m20.4026552910272585s  0.00035  -62d04m39.5616754250971780s  0.00250
2023.771  69d11m20.4166882012339101s  0.00035  -62d04m39.5651645430069721s  0.00250
2023.771  69d11m20.4054956975676305s  0.00035  -62d04m39.5608862622628976s  0.00250
2023.779  69d11m20.4058610232573301s  0.00035  -62d04m39.5333987799949682s  0.00250
2023.782  69d11m20.4134699807150355s  0.00035  -62d04m39.5638685745672092s  0.00250
2023.839  69d11m20.3889588407685096s  0.00035  -62d04m39.5747032031727031s  0.00250
2023.842  69d11m20.3849953897611158s  0.00035  -62d04m39.5647214936849423s  0.00250
