name = R_Dor - HalfViktad

# date  RA  RA_error  Dec Dec_error
2017.732  69d11m21.3138014306844070s  0d00m00.0107124700742933s  -62d04m39.1019827631771477s  0d00m00.0111851077658916s
2017.735  69d11m21.3151544817060312s  0d00m00.0211202070642518s  -62d04m39.1049142509592684s  0d00m00.0260449038758018s
2017.812  69d11m21.2828673101137156s  0d00m00.0156427913656854s  -62d04m39.1224181425434381s  0d00m00.0145103482272624s
2017.855  69d11m21.2685172021190283s  0d00m00.0094344917087403s  -62d04m39.1266654514288348s  0d00m00.0096523928741306s
2023.568  69d11m20.4403889912236991s  0d00m00.0110460629821422s  -62d04m39.5245537917395495s  0d00m00.0118914779658308s
2023.585  69d11m20.4413794125366621s  0d00m00.0126821677892305s  -62d04m39.5306591682447106s  0d00m00.0127062270577946s
2023.626  69d11m20.4458316928219119s  0d00m00.0213473170938149s  -62d04m39.5332019582872363s  0d00m00.0270066897608990s
2023.749  69d11m20.4077515524113551s  0d00m00.0090219174555533s  -62d04m39.5658854677157024s  0d00m00.0084602651825299s
2023.757  69d11m20.4165081453788844s  0d00m00.0085619720790845s  -62d04m39.5688612847357035s  0d00m00.0089616095874562s
2023.757  69d11m20.4032135253180513s  0d00m00.0073868140783578s  -62d04m39.5651333223105439s  0d00m00.0074738398739460s
2023.763  69d11m20.4219067567544244s  0d00m00.0082067116660760s  -62d04m39.5550061935557551s  0d00m00.0091678713489877s
2023.771  69d11m20.4156986705493182s  0d00m00.0074017049698020s  -62d04m39.5652286625710303s  0d00m00.0075749632334217s
2023.771  69d11m20.4066035061453022s  0d00m00.0088663770464385s  -62d04m39.5606067523436877s  0d00m00.0082722689632682s
2023.782  69d11m20.4118018215490338s  0d00m00.0087058932604890s  -62d04m39.5636283740549288s  0d00m00.0085897625018063s
2023.839  69d11m20.3887427486642991s  0d00m00.0067743932576586s  -62d04m39.5735843656188990s  0d00m00.0067850789432616s
2023.842  69d11m20.3863507392065912s  0d00m00.0064674872141988s  -62d04m39.5654826085552713s  0d00m00.0066319922319448s
