name = R Leonis - Max intensitet

# date  RA  RA_error  Dec Dec_error
2017.745  09:47:33.488836  0.00035  11:25:42.549951  0.00250
2017.753  09:47:33.490245  0.00035  11:25:42.553738  0.00250
2017.759  09:47:33.490588  0.00035  11:25:42.557744  0.00250
2017.770  09:47:33.490825  0.00035  11:25:42.558183  0.00250
2017.775  09:47:33.490825  0.00035  11:25:42.559883  0.00250
2017.781  09:47:33.490912  0.00035  11:25:42.561197  0.00250
2017.874  09:47:33.490948  0.00035  11:25:42.568844  0.00250
2021.819  09:47:33.491049  0.00035  11:25:42.629510  0.00250
2023.748  09:47:33.491061  0.00035  11:25:42.632510  0.00250
2023.756  09:47:33.491063  0.00035  11:25:42.632669  0.00250
2023.756  09:47:33.491146  0.00035  11:25:42.632842  0.00250
2023.778  09:47:33.491154  0.00035  11:25:42.632846  0.00250
2023.825  09:47:33.491155  0.00035  11:25:42.633362  0.00250
2023.830  09:47:33.491165  0.00035  11:25:42.633718  0.00250
2023.838  09:47:33.491199  0.00035  11:25:42.642920  0.00250
2023.838  09:47:33.491217  0.00035  11:25:42.645171  0.00250
2023.841  09:47:33.491229  0.00035  11:25:42.713540  0.00250
2025.534  09:47:33.491281  0.00035  11:25:42.888918  0.00250
2025.562  09:47:33.491347  0.00035  11:25:42.891253  0.00250
2025.674  09:47:33.491477  0.00035  11:25:42.893436  0.00250
2025.693  09:47:33.491477  0.00035  11:25:42.894039  0.00250
2025.693  09:47:33.491579  0.00035  11:25:42.894402  0.00250
2025.710  09:47:33.491590  0.00035  11:25:42.895065  0.00250
2025.737  09:47:33.491643  0.00035  11:25:42.895412  0.00250
