name = W_Hya - HalfMax

# date  RA  RA_error  Dec Dec_error
2015.914  207d15m29.0852276693840395s  0d00m00.0061978018295036s  -28d22m04.4881795668661084s  0d00m00.0061485584127248s
2017.824  207d15m28.9825383380161838s  0d00m00.0068420378499247s  -28d22m04.6000540987381555s  0d00m00.0066632440273425s
2017.900  207d15m28.9835284525793213s  0d00m00.0061758988073633s  -28d22m04.6055136504992333s  0d00m00.0061688222638742s
2019.433  207d15m28.8811538253526123s  0d00m00.0061809324125119s  -28d22m04.7010188711016099s  0d00m00.0061863699580467s
2021.736  207d15m28.7572839869085328s  0d00m00.0068264134884488s  -28d22m04.8406197128744566s  0d00m00.0066098516529299s
2023.627  207d15m28.6456093021001834s  0d00m00.0060665227811967s  -28d22m04.9531148835956174s  0d00m00.0060550408602374s
2023.635  207d15m28.6431079820658852s  0d00m00.0060623810082314s  -28d22m04.9528431970119868s  0d00m00.0060586560763485s
2023.753  207d15m28.6453008752800997s  0d00m00.0060605682336597s  -28d22m04.9634443303591524s  0d00m00.0060623457516604s
2023.780  207d15m28.6430408662681657s  0d00m00.0060868337300529s  -28d22m04.9645562233112628s  0d00m00.0060413042906255s
2025.565  207d15m28.5343786202702177s  0d00m00.0060752875029795s  -28d22m05.0751622664452611s  0d00m00.0060486834076324s
2025.611  207d15m28.5298279516155162s  0d00m00.0060677171522661s  -28d22m05.0748490216167852s  0d00m00.0060553221350688s
2025.695  207d15m28.5319928058697769s  0d00m00.0060618099180446s  -28d22m05.0788820687162683s  0d00m00.0060635777349789s
2025.696  207d15m28.5287783251305882s  0d00m00.0060701206723056s  -28d22m05.0769489126426492s  0d00m00.0060545042938517s
2025.712  207d15m28.5323298008393067s  0d00m00.0060623966837086s  -28d22m05.0803723648587606s  0d00m00.0060597366407067s
2025.715  207d15m28.5327978238228752s  0d00m00.0060653708773179s  -28d22m05.0794360360330870s  0d00m00.0060574598896344s
