name = R_Dor - Moffat

# date  RA  RA_error  Dec Dec_error
2017.732  69d11m21.3135433391266815s  0d00m00.0000000750724176s  -62d04m39.1014148460334354s  0d00m00.0000000750724177s
2017.735  69d11m21.3161333055120394s  0d00m00.0000000737707007s  -62d04m39.1050762955194386s  0d00m00.0000000737707007s
2017.812  69d11m21.2841751168662086s  0d00m00.0000002386815621s  -62d04m39.1222863167803325s  0d00m00.0000002415260404s
2017.855  69d11m21.2703253351287458s  0d00m00.0000014861732099s  -62d04m39.1277331528249306s  0d00m00.0000014861718870s
2023.568  69d11m20.4463103420573589s  0d00m00.0000012224630545s  -62d04m39.5221544675570158s  0d00m00.0000012224630545s
2023.585  69d11m20.4428093752449058s  0d00m00.0000014098331280s  -62d04m39.5264503189883953s  0d00m00.0000014098296337s
2023.626  69d11m20.4423610558217206s  0d00m00.0000001476057740s  -62d04m39.5331702141311325s  0d00m00.0000001632124759s
2023.749  69d11m20.4047464581003624s  0d00m00.0000005598353601s  -62d04m39.5689685072289876s  0d00m00.0000005598353600s
2023.757  69d11m20.4204272559957190s  0d00m00.0000003360494872s  -62d04m39.5680435326744373s  0d00m00.0000003360494872s
2023.757  69d11m20.4009456434869207s  0d00m00.0000012509308275s  -62d04m39.5657250965689400s  0d00m00.0000012509308273s
2023.763  69d11m20.4234702430164816s  0d00m00.0000003733853759s  -62d04m39.5536482889701801s  0d00m00.0000003733853759s
2023.763  69d11m20.3972486983241197s  0d00m00.0000043643259703s  -62d04m39.5642860781669015s  0d00m00.0000043643259708s
2023.771  69d11m20.4166315495649542s  0d00m00.0000008718681234s  -62d04m39.5651399769297996s  0d00m00.0000008718681234s
2023.771  69d11m20.4054837643548126s  0d00m00.0000003259642381s  -62d04m39.5608666331389713s  0d00m00.0000003259642380s
2023.779  69d11m20.3496956202025103s  0d00m00.0000155696945660s  -62d04m39.5928375302111135s  0d00m00.0000155696945622s
2023.782  69d11m20.4134797186407013s  0d00m00.0000002400584026s  -62d04m39.5638018216408227s  0d00m00.0000002400584026s
2023.839  69d11m20.3890742253088320s  0d00m00.0000018840179989s  -62d04m39.5746359788921609s  0d00m00.0000018840179989s
2023.842  69d11m20.3849695622034233s  0d00m00.0000025503104778s  -62d04m39.5647714063477451s  0d00m00.0000025503104778s
