name = Mira - Moffat

# date  RA  RA_error  Dec Dec_error
2017.721  34d50m11.9489636202672500s  0d00m00.0010000000022678s  -2d58m43.7429477806716704s  0d00m00.0010000000022678s
2017.724  34d50m11.9515181495273737s  0d00m00.0010000000296043s  -2d58m43.7466693472529755s  0d00m00.0010000000296043s
2017.855  34d50m11.9488221253362781s  0d00m00.0010000082817024s  -2d58m43.7839701345694721s  0d00m00.0010000082817024s
2019.464  34d50m11.9646700282174834s  0d00m00.0010000016644907s  -2d58m44.1543485648770684s  0d00m00.0010000016644906s
2021.716  34d50m11.9754895783245274s  0d00m00.0010000023907509s  -2d58m44.6963702570816679s  0d00m00.0010000023907509s
2021.718  34d50m11.9753547083917056s  0d00m00.0010000022078871s  -2d58m44.6970632548816127s  0d00m00.0010000022078871s
2021.721  34d50m11.9753096763304256s  0d00m00.0010000016190153s  -2d58m44.6977815710738469s  0d00m00.0010000016190153s
2021.727  34d50m11.9750474224957770s  0d00m00.0010000027011037s  -2d58m44.6992879609346971s  0d00m00.0010000027011037s
2023.530  34d50m11.9926795169618572s  0d00m00.0010000026558997s  -2d58m45.1316921595321219s  0d00m00.0010000026558997s
2023.533  34d50m11.9908094688582878s  0d00m00.0010000000526606s  -2d58m45.1314554823088088s  0d00m00.0010000000526606s
2023.552  34d50m11.9901104560938165s  0d00m00.0010000044152653s  -2d58m45.1429868824840241s  0d00m00.0010000044152653s
2023.626  34d50m11.9936260379034820s  0d00m00.0010000033588710s  -2d58m45.1592470379141275s  0d00m00.0010000033588710s
2025.606  34d50m12.0122216314484831s  0d00m00.0010000011582572s  -2d58m45.6293600267714794s  0d00m00.0010000011582572s
