name = W Hydrae - Gaussisk

# date  RA  RA_error  Dec Dec_error
2015.912  13:49:1.901856  0.00035  -28:22:5.081094  0.00250
2017.822  13:49:1.901983  0.00035  -28:22:5.079203  0.00250
2017.899  13:49:1.902048  0.00035  -28:22:5.078622  0.00250
2019.433  13:49:1.902124  0.00035  -28:22:5.077065  0.00250
2021.734  13:49:1.902149  0.00035  -28:22:5.075075  0.00250
2023.625  13:49:1.902175  0.00035  -28:22:5.074830  0.00250
2023.633  13:49:1.902246  0.00035  -28:22:5.074801  0.00250
2023.751  13:49:1.909532  0.00035  -28:22:4.964918  0.00250
2023.778  13:49:1.909576  0.00035  -28:22:4.963716  0.00250
2025.564  13:49:1.909699  0.00035  -28:22:4.953527  0.00250
2025.592  13:49:1.909712  0.00035  -28:22:4.953290  0.00250
2025.611  13:49:1.917312  0.00035  -28:22:4.840074  0.00250
2025.693  13:49:1.925412  0.00035  -28:22:4.701254  0.00250
2025.693  13:49:1.932175  0.00035  -28:22:4.604693  0.00250
2025.710  13:49:1.932235  0.00035  -28:22:4.600049  0.00250
2025.712  13:49:1.939053  0.00035  -28:22:4.487726  0.00250
