name = Mira_B - IntIntegrering

# date  RA  RA_error  Dec Dec_error
2017.721  34d50m12.3997328838981957s  0d00m00.0008579424003029s  -2d58m43.7940993431786296s  0d00m00.0008176046874545s
2017.724  34d50m12.3978726766779346s  0d00m00.0008475669373324s  -2d58m43.7949416253206891s  0d00m00.0008186207147778s
2017.855  34d50m12.3966546715507775s  0d00m00.0008613491359690s  -2d58m43.8299190251434823s  0d00m00.0008018375649943s
2019.464  34d50m12.3930884399015895s  0d00m00.0008765764369060s  -2d58m44.1922722041528004s  0d00m00.0008570679407486s
2021.716  34d50m12.3908358578063371s  0d00m00.0008612868255093s  -2d58m44.7186016021537114s  0d00m00.0008322868183107s
2021.718  34d50m12.3959932192434508s  0d00m00.0008273131805486s  -2d58m44.7195811800253296s  0d00m00.0008450363088458s
2021.721  34d50m12.4023650975260580s  0d00m00.0009293174495250s  -2d58m44.7195005114608080s  0d00m00.0008114818536486s
2021.727  34d50m12.3911517278116889s  0d00m00.0008612063311275s  -2d58m44.7210903310165975s  0d00m00.0008133126114818s
2023.530  34d50m12.3902637240291824s  0d00m00.0008957642906268s  -2d58m45.1345021047779937s  0d00m00.0008299483648347s
2023.533  34d50m12.3915175424798463s  0d00m00.0008644245617709s  -2d58m45.1341371131012181s  0d00m00.0008310352272894s
2023.552  34d50m12.3974748134315860s  0d00m00.0008949528411984s  -2d58m45.1405783445184738s  0d00m00.0008409885228332s
2023.626  34d50m12.4009891246799953s  0d00m00.0008898672848562s  -2d58m45.1610279363495692s  0d00m00.0008463422817442s
2025.606  34d50m12.3973027857147144s  0d00m00.0009309910047835s  -2d58m45.6158304462883279s  0d00m00.0008050288484041s
