name = R_Dor - HalfMax

# date  RA  RA_error  Dec Dec_error
2017.732  69d11m21.3133642747857266s  0d00m00.0061607029195197s  -62d04m39.1009148528473816s  0d00m00.0061808118139217s
2017.735  69d11m21.3152474102764700s  0d00m00.0065608618913279s  -62d04m39.1046841569482240s  0d00m00.0068693497282140s
2017.812  69d11m21.2840013767015535s  0d00m00.0062781500463672s  -62d04m39.1228730991406337s  0d00m00.0062358774074658s
2017.855  69d11m21.2699639173786181s  0d00m00.0060880384461201s  -62d04m39.1271036338599743s  0d00m00.0060865846317901s
2023.568  69d11m20.4445918090038958s  0d00m00.0060564305710104s  -62d04m39.5232689782039870s  0d00m00.0060653362861486s
2023.585  69d11m20.4427906470834841s  0d00m00.0060597676151272s  -62d04m39.5277281147008352s  0d00m00.0060609407238224s
2023.626  69d11m20.4443885337320808s  0d00m00.0063331989659966s  -62d04m39.5336383539876124s  0d00m00.0064481158025570s
2023.749  69d11m20.4085811447805554s  0d00m00.0060697903451701s  -62d04m39.5660451090526522s  0d00m00.0060543386136294s
2023.757  69d11m20.4160319810932833s  0d00m00.0060558267123356s  -62d04m39.5689490462649474s  0d00m00.0060655140559242s
2023.757  69d11m20.4033052104159651s  0d00m00.0060583215409618s  -62d04m39.5649340915986159s  0d00m00.0060626239320776s
2023.763  69d11m20.4210899077020258s  0d00m00.0060488651383750s  -62d04m39.5550859505055996s  0d00m00.0060743818857125s
2023.771  69d11m20.4160635063396967s  0d00m00.0060577088264222s  -62d04m39.5650951236439141s  0d00m00.0060643053610889s
2023.771  69d11m20.4069928385388266s  0d00m00.0060714186052431s  -62d04m39.5603083577674397s  0d00m00.0060543029611043s
2023.782  69d11m20.4114813646208404s  0d00m00.0060626590618633s  -62d04m39.5637230614744340s  0d00m00.0060598308575825s
2023.839  69d11m20.3887460850546631s  0d00m00.0060593002300773s  -62d04m39.5736776194587492s  0d00m00.0060621005313357s
2023.842  69d11m20.3861292780595704s  0d00m00.0060520845432737s  -62d04m39.5653346407220852s  0d00m00.0060703655833536s
