name = W Hydrae - Max intensitet

# date  RA  RA_error  Dec Dec_error
2015.912  13:49:1.901508  0.00035  -28:22:5.080798  0.00250
2017.822  13:49:1.901667  0.00035  -28:22:5.079722  0.00250
2017.899  13:49:1.901957  0.00035  -28:22:5.077888  0.00250
2019.433  13:49:1.902152  0.00035  -28:22:5.077813  0.00250
2021.734  13:49:1.902156  0.00035  -28:22:5.076985  0.00250
2023.625  13:49:1.902162  0.00035  -28:22:5.076632  0.00250
2023.633  13:49:1.902404  0.00035  -28:22:5.075755  0.00250
2023.751  13:49:1.909444  0.00035  -28:22:4.964178  0.00250
2023.778  13:49:1.909634  0.00035  -28:22:4.963203  0.00250
2025.564  13:49:1.909842  0.00035  -28:22:4.953086  0.00250
2025.592  13:49:1.909863  0.00035  -28:22:4.950522  0.00250
2025.611  13:49:1.917385  0.00035  -28:22:4.841929  0.00250
2025.693  13:49:1.925455  0.00035  -28:22:4.698384  0.00250
2025.693  13:49:1.931773  0.00035  -28:22:4.608982  0.00250
2025.710  13:49:1.931918  0.00035  -28:22:4.595034  0.00250
2025.712  13:49:1.938822  0.00035  -28:22:4.490841  0.00250
